arrival_delay_minutes,aircraft_type,gate_availability,ground_staff_level,weather_condition,time_of_day,turnaround_delay_risk,turnaround_delay_minutes
62,Narrowbody,Available,Adequate,Clear,Off-Peak,0,62
16,Narrowbody,Available,Adequate,Clear,Off-Peak,0,16
72,Narrowbody,Available,Adequate,Storm,Off-Peak,1,102
32,Narrowbody,Available,Low,Clear,Off-Peak,0,32
116,Narrowbody,Available,Low,Clear,Peak,1,127
83,Narrowbody,Available,Adequate,Clear,Off-Peak,1,105
76,Widebody,Available,Adequate,Rain,Peak,1,89
91,Narrowbody,Available,Adequate,Rain,Peak,1,120
111,Narrowbody,Constrained,Adequate,Rain,Off-Peak,1,170
28,Narrowbody,Available,Adequate,Rain,Peak,0,28
12,Narrowbody,Available,Adequate,Rain,Off-Peak,0,12
45,Widebody,Available,Low,Storm,Peak,1,84
34,Widebody,Available,Adequate,Clear,Off-Peak,0,34
5,Widebody,Available,Adequate,Clear,Peak,0,5
81,Narrowbody,Available,Low,Rain,Off-Peak,1,102
114,Narrowbody,Available,Adequate,Rain,Off-Peak,1,164
68,Narrowbody,Available,Adequate,Rain,Peak,1,115
46,Narrowbody,Available,Adequate,Clear,Off-Peak,0,46
24,Narrowbody,Available,Adequate,Rain,Peak,0,24
65,Widebody,Constrained,Adequate,Rain,Off-Peak,1,76
9,Narrowbody,Available,Low,Clear,Peak,0,9
55,Narrowbody,Available,Adequate,Clear,Off-Peak,0,55
29,Narrowbody,Available,Adequate,Clear,Peak,0,29
113,Narrowbody,Available,Adequate,Clear,Off-Peak,1,164
108,Narrowbody,Available,Adequate,Clear,Off-Peak,1,157
4,Widebody,Available,Low,Clear,Off-Peak,0,4
118,Widebody,Available,Low,Clear,Peak,1,144
119,Widebody,Available,Adequate,Rain,Off-Peak,1,153
32,Narrowbody,Available,Low,Rain,Peak,1,73
117,Narrowbody,Available,Adequate,Rain,Peak,1,138
64,Narrowbody,Constrained,Low,Clear,Off-Peak,1,122
17,Narrowbody,Available,Adequate,Clear,Peak,0,17
95,Widebody,Available,Low,Rain,Off-Peak,1,123
110,Narrowbody,Available,Low,Clear,Off-Peak,1,163
48,Narrowbody,Available,Adequate,Storm,Peak,1,105
10,Narrowbody,Constrained,Adequate,Rain,Peak,0,10
84,Narrowbody,Available,Low,Clear,Peak,1,124
25,Widebody,Available,Low,Storm,Off-Peak,1,71
62,Narrowbody,Available,Adequate,Clear,Off-Peak,0,62
88,Narrowbody,Available,Low,Clear,Off-Peak,1,113
85,Narrowbody,Available,Adequate,Rain,Peak,1,132
58,Narrowbody,Available,Adequate,Clear,Off-Peak,0,58
26,Widebody,Available,Adequate,Storm,Peak,1,84
48,Widebody,Available,Adequate,Clear,Off-Peak,0,48
76,Widebody,Available,Low,Clear,Off-Peak,1,99
32,Widebody,Constrained,Adequate,Clear,Off-Peak,1,47
97,Narrowbody,Constrained,Low,Rain,Off-Peak,1,131
104,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,136
98,Narrowbody,Available,Adequate,Clear,Peak,1,150
0,Narrowbody,Available,Adequate,Rain,Peak,0,0
20,Widebody,Constrained,Adequate,Clear,Off-Peak,0,20
111,Narrowbody,Available,Adequate,Rain,Off-Peak,1,156
54,Widebody,Available,Adequate,Clear,Off-Peak,0,54
5,Narrowbody,Constrained,Adequate,Rain,Peak,0,5
91,Narrowbody,Constrained,Adequate,Rain,Off-Peak,1,106
80,Narrowbody,Available,Adequate,Clear,Peak,1,127
68,Widebody,Available,Adequate,Clear,Off-Peak,1,127
94,Narrowbody,Available,Low,Rain,Off-Peak,1,143
4,Narrowbody,Constrained,Low,Clear,Peak,0,4
101,Narrowbody,Constrained,Adequate,Storm,Off-Peak,1,118
2,Narrowbody,Available,Adequate,Clear,Peak,0,2
52,Narrowbody,Available,Adequate,Clear,Off-Peak,0,52
22,Widebody,Constrained,Low,Clear,Off-Peak,1,65
100,Narrowbody,Available,Adequate,Storm,Off-Peak,1,153
52,Narrowbody,Available,Adequate,Clear,Peak,0,52
36,Narrowbody,Constrained,Adequate,Rain,Peak,1,81
73,Narrowbody,Available,Adequate,Rain,Off-Peak,1,117
73,Widebody,Available,Adequate,Clear,Peak,1,128
82,Narrowbody,Available,Low,Clear,Off-Peak,1,113
16,Narrowbody,Available,Adequate,Rain,Off-Peak,0,16
84,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,133
77,Widebody,Available,Adequate,Rain,Off-Peak,1,131
72,Widebody,Constrained,Adequate,Clear,Off-Peak,1,103
109,Narrowbody,Available,Low,Clear,Peak,1,123
0,Narrowbody,Available,Adequate,Rain,Off-Peak,0,0
50,Narrowbody,Available,Low,Clear,Off-Peak,0,50
44,Widebody,Available,Adequate,Clear,Off-Peak,0,44
76,Narrowbody,Available,Adequate,Clear,Peak,1,105
3,Narrowbody,Available,Low,Clear,Peak,0,3
61,Narrowbody,Available,Adequate,Clear,Off-Peak,0,61
64,Narrowbody,Available,Low,Rain,Off-Peak,1,102
112,Narrowbody,Available,Adequate,Clear,Off-Peak,1,144
103,Widebody,Available,Low,Clear,Off-Peak,1,136
31,Narrowbody,Available,Adequate,Rain,Off-Peak,0,31
33,Narrowbody,Available,Adequate,Clear,Off-Peak,0,33
91,Narrowbody,Available,Low,Clear,Off-Peak,1,138
94,Widebody,Available,Low,Storm,Off-Peak,1,140
71,Narrowbody,Available,Low,Rain,Off-Peak,1,84
38,Widebody,Available,Low,Clear,Peak,1,81
25,Narrowbody,Constrained,Low,Rain,Peak,1,76
33,Narrowbody,Constrained,Adequate,Clear,Peak,1,64
53,Narrowbody,Available,Adequate,Rain,Off-Peak,0,53
117,Narrowbody,Available,Adequate,Clear,Off-Peak,1,176
2,Narrowbody,Constrained,Adequate,Clear,Off-Peak,0,2
49,Widebody,Available,Adequate,Clear,Peak,1,81
11,Narrowbody,Constrained,Adequate,Clear,Off-Peak,0,11
64,Narrowbody,Constrained,Adequate,Clear,Peak,1,104
53,Narrowbody,Constrained,Adequate,Storm,Peak,1,71
107,Widebody,Available,Adequate,Clear,Off-Peak,1,159
4,Widebody,Available,Adequate,Clear,Peak,0,4
93,Narrowbody,Available,Adequate,Clear,Off-Peak,1,127
93,Widebody,Available,Low,Clear,Off-Peak,1,151
56,Narrowbody,Available,Low,Rain,Off-Peak,1,86
16,Narrowbody,Available,Adequate,Clear,Off-Peak,0,16
111,Widebody,Available,Adequate,Clear,Peak,1,168
46,Widebody,Constrained,Adequate,Clear,Off-Peak,1,93
22,Narrowbody,Available,Adequate,Rain,Off-Peak,0,22
78,Narrowbody,Constrained,Adequate,Clear,Peak,1,130
100,Narrowbody,Constrained,Adequate,Clear,Peak,1,132
84,Widebody,Available,Adequate,Clear,Off-Peak,1,142
13,Narrowbody,Available,Adequate,Clear,Peak,0,13
65,Narrowbody,Constrained,Low,Clear,Peak,1,103
74,Narrowbody,Available,Low,Rain,Off-Peak,1,98
50,Narrowbody,Available,Adequate,Rain,Off-Peak,0,50
102,Narrowbody,Available,Adequate,Rain,Off-Peak,1,141
37,Widebody,Available,Adequate,Clear,Peak,0,37
63,Narrowbody,Available,Adequate,Clear,Peak,1,92
97,Narrowbody,Available,Low,Clear,Peak,1,139
37,Narrowbody,Available,Adequate,Storm,Off-Peak,0,37
49,Widebody,Available,Low,Clear,Off-Peak,1,102
97,Narrowbody,Available,Adequate,Rain,Off-Peak,1,142
81,Narrowbody,Available,Low,Clear,Off-Peak,1,112
29,Widebody,Available,Adequate,Clear,Peak,0,29
78,Widebody,Constrained,Low,Clear,Peak,1,94
90,Widebody,Available,Adequate,Clear,Off-Peak,1,107
50,Widebody,Available,Adequate,Storm,Off-Peak,1,87
62,Narrowbody,Available,Adequate,Storm,Off-Peak,1,116
97,Widebody,Available,Adequate,Clear,Off-Peak,1,149
51,Narrowbody,Available,Low,Clear,Off-Peak,1,69
37,Widebody,Constrained,Low,Storm,Off-Peak,1,71
96,Widebody,Available,Low,Rain,Off-Peak,1,121
87,Widebody,Constrained,Adequate,Clear,Off-Peak,1,106
78,Narrowbody,Available,Low,Clear,Off-Peak,1,98
29,Narrowbody,Available,Adequate,Clear,Off-Peak,0,29
118,Narrowbody,Available,Adequate,Clear,Peak,1,139
105,Widebody,Constrained,Adequate,Clear,Off-Peak,1,145
50,Widebody,Available,Adequate,Clear,Peak,1,73
80,Narrowbody,Available,Adequate,Clear,Off-Peak,1,133
4,Narrowbody,Available,Adequate,Clear,Off-Peak,0,4
28,Narrowbody,Available,Adequate,Clear,Off-Peak,0,28
3,Widebody,Available,Low,Rain,Off-Peak,0,3
9,Widebody,Available,Adequate,Rain,Peak,0,9
55,Narrowbody,Available,Adequate,Clear,Off-Peak,0,55
16,Narrowbody,Available,Adequate,Storm,Peak,0,16
73,Widebody,Available,Adequate,Storm,Peak,1,86
16,Widebody,Constrained,Adequate,Clear,Off-Peak,0,16
83,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,120
87,Narrowbody,Constrained,Adequate,Rain,Peak,1,112
68,Narrowbody,Available,Adequate,Rain,Off-Peak,1,89
33,Narrowbody,Available,Adequate,Storm,Peak,1,63
5,Narrowbody,Available,Low,Rain,Off-Peak,0,5
52,Narrowbody,Available,Adequate,Rain,Off-Peak,0,52
65,Widebody,Available,Adequate,Clear,Off-Peak,1,114
76,Narrowbody,Available,Low,Clear,Off-Peak,1,98
106,Widebody,Available,Adequate,Clear,Peak,1,147
42,Narrowbody,Available,Adequate,Clear,Off-Peak,0,42
111,Narrowbody,Constrained,Low,Rain,Peak,1,170
74,Narrowbody,Available,Adequate,Clear,Off-Peak,1,98
114,Narrowbody,Available,Adequate,Rain,Off-Peak,1,135
110,Widebody,Available,Adequate,Clear,Off-Peak,1,168
22,Widebody,Available,Adequate,Clear,Off-Peak,0,22
54,Narrowbody,Available,Adequate,Clear,Off-Peak,0,54
79,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,94
94,Widebody,Constrained,Adequate,Rain,Peak,1,120
74,Narrowbody,Available,Adequate,Rain,Off-Peak,1,131
117,Narrowbody,Constrained,Adequate,Storm,Off-Peak,1,175
15,Widebody,Constrained,Adequate,Clear,Peak,0,15
7,Narrowbody,Constrained,Adequate,Clear,Peak,0,7
3,Narrowbody,Constrained,Adequate,Clear,Off-Peak,0,3
103,Narrowbody,Available,Adequate,Clear,Off-Peak,1,135
3,Widebody,Available,Low,Rain,Peak,0,3
55,Narrowbody,Available,Adequate,Rain,Peak,1,102
24,Narrowbody,Available,Adequate,Rain,Off-Peak,0,24
66,Widebody,Constrained,Adequate,Clear,Off-Peak,1,92
95,Narrowbody,Available,Adequate,Rain,Peak,1,123
66,Widebody,Available,Low,Clear,Off-Peak,1,108
26,Narrowbody,Constrained,Adequate,Rain,Peak,1,36
92,Widebody,Constrained,Low,Clear,Off-Peak,1,114
31,Narrowbody,Constrained,Adequate,Clear,Peak,1,86
49,Narrowbody,Available,Low,Clear,Off-Peak,0,49
60,Narrowbody,Available,Adequate,Storm,Off-Peak,1,75
50,Narrowbody,Available,Low,Clear,Peak,1,65
18,Widebody,Available,Adequate,Clear,Off-Peak,0,18
20,Widebody,Available,Adequate,Rain,Off-Peak,0,20
4,Narrowbody,Available,Adequate,Clear,Off-Peak,0,4
81,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,125
91,Widebody,Available,Low,Clear,Off-Peak,1,123
41,Widebody,Available,Adequate,Clear,Peak,1,60
60,Narrowbody,Available,Adequate,Storm,Off-Peak,1,88
21,Narrowbody,Available,Low,Rain,Off-Peak,0,21
20,Narrowbody,Available,Adequate,Clear,Off-Peak,0,20
69,Narrowbody,Constrained,Low,Storm,Peak,1,82
0,Narrowbody,Available,Low,Clear,Peak,0,0
4,Narrowbody,Constrained,Adequate,Clear,Off-Peak,0,4
104,Narrowbody,Available,Low,Clear,Off-Peak,1,155
11,Widebody,Constrained,Adequate,Clear,Peak,0,11
89,Narrowbody,Available,Adequate,Clear,Off-Peak,1,132
45,Narrowbody,Available,Adequate,Storm,Peak,1,58
33,Narrowbody,Available,Adequate,Rain,Peak,0,33
48,Narrowbody,Constrained,Low,Clear,Peak,1,64
77,Narrowbody,Available,Low,Clear,Off-Peak,1,134
89,Narrowbody,Available,Adequate,Rain,Peak,1,105
44,Narrowbody,Constrained,Adequate,Storm,Peak,1,103
26,Narrowbody,Constrained,Low,Rain,Peak,1,61
72,Narrowbody,Available,Adequate,Clear,Off-Peak,1,107
25,Narrowbody,Available,Adequate,Rain,Off-Peak,0,25
46,Widebody,Available,Adequate,Clear,Off-Peak,0,46
85,Narrowbody,Available,Low,Clear,Off-Peak,1,114
110,Widebody,Available,Adequate,Clear,Peak,1,161
55,Narrowbody,Constrained,Low,Clear,Off-Peak,1,109
93,Narrowbody,Constrained,Low,Clear,Off-Peak,1,152
106,Narrowbody,Available,Adequate,Clear,Off-Peak,1,131
62,Narrowbody,Available,Adequate,Clear,Peak,1,88
47,Widebody,Available,Low,Rain,Peak,1,78
60,Widebody,Constrained,Adequate,Clear,Off-Peak,1,82
80,Widebody,Constrained,Low,Clear,Off-Peak,1,101
25,Narrowbody,Available,Low,Clear,Off-Peak,0,25
35,Narrowbody,Constrained,Adequate,Storm,Peak,1,45
0,Narrowbody,Available,Low,Clear,Peak,0,0
7,Narrowbody,Available,Low,Clear,Peak,0,7
112,Narrowbody,Available,Low,Clear,Off-Peak,1,129
98,Narrowbody,Available,Adequate,Rain,Peak,1,128
51,Narrowbody,Available,Adequate,Storm,Off-Peak,1,82
78,Narrowbody,Available,Adequate,Clear,Peak,1,105
46,Widebody,Available,Adequate,Clear,Off-Peak,0,46
55,Widebody,Constrained,Adequate,Storm,Peak,1,112
85,Widebody,Available,Low,Clear,Off-Peak,1,138
13,Narrowbody,Available,Adequate,Rain,Peak,0,13
89,Narrowbody,Available,Adequate,Clear,Peak,1,101
27,Narrowbody,Available,Adequate,Clear,Off-Peak,0,27
86,Widebody,Available,Low,Clear,Off-Peak,1,116
77,Narrowbody,Available,Adequate,Clear,Peak,1,116
87,Narrowbody,Available,Adequate,Rain,Off-Peak,1,124
1,Widebody,Available,Adequate,Storm,Off-Peak,0,1
108,Narrowbody,Available,Low,Clear,Off-Peak,1,143
25,Narrowbody,Available,Adequate,Rain,Peak,0,25
13,Narrowbody,Available,Adequate,Clear,Off-Peak,0,13
58,Narrowbody,Available,Low,Clear,Off-Peak,1,77
55,Narrowbody,Available,Low,Clear,Off-Peak,1,112
114,Narrowbody,Constrained,Low,Storm,Off-Peak,1,166
6,Narrowbody,Available,Adequate,Rain,Peak,0,6
2,Narrowbody,Available,Adequate,Rain,Peak,0,2
110,Widebody,Constrained,Low,Rain,Peak,1,159
22,Narrowbody,Available,Adequate,Rain,Off-Peak,0,22
109,Narrowbody,Available,Low,Storm,Peak,1,135
106,Narrowbody,Constrained,Adequate,Rain,Off-Peak,1,133
110,Widebody,Constrained,Adequate,Storm,Off-Peak,1,151
108,Narrowbody,Constrained,Adequate,Clear,Peak,1,155
17,Narrowbody,Available,Adequate,Clear,Peak,0,17
37,Widebody,Available,Adequate,Clear,Peak,0,37
98,Widebody,Available,Adequate,Clear,Peak,1,130
114,Narrowbody,Available,Low,Clear,Off-Peak,1,158
14,Widebody,Available,Adequate,Clear,Off-Peak,0,14
63,Narrowbody,Available,Adequate,Rain,Peak,1,87
88,Narrowbody,Constrained,Low,Clear,Off-Peak,1,121
118,Narrowbody,Available,Adequate,Clear,Off-Peak,1,155
100,Narrowbody,Available,Adequate,Clear,Peak,1,125
27,Widebody,Available,Low,Storm,Peak,1,52
73,Narrowbody,Available,Adequate,Clear,Off-Peak,1,122
38,Narrowbody,Available,Low,Clear,Peak,1,86
56,Widebody,Available,Low,Rain,Peak,1,71
16,Widebody,Available,Low,Rain,Peak,1,27
102,Narrowbody,Available,Adequate,Clear,Off-Peak,1,124
85,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,138
89,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,145
43,Widebody,Available,Adequate,Storm,Off-Peak,1,61
24,Narrowbody,Available,Low,Clear,Off-Peak,0,24
16,Widebody,Constrained,Adequate,Clear,Off-Peak,0,16
12,Narrowbody,Constrained,Adequate,Clear,Off-Peak,0,12
83,Narrowbody,Available,Low,Clear,Peak,1,121
24,Narrowbody,Available,Adequate,Rain,Off-Peak,0,24
67,Narrowbody,Available,Adequate,Clear,Peak,1,119
9,Narrowbody,Constrained,Adequate,Clear,Peak,0,9
66,Widebody,Constrained,Low,Clear,Off-Peak,1,99
104,Narrowbody,Available,Adequate,Clear,Peak,1,120
108,Narrowbody,Constrained,Low,Clear,Peak,1,151
17,Widebody,Available,Adequate,Rain,Off-Peak,0,17
110,Narrowbody,Constrained,Low,Rain,Peak,1,131
99,Widebody,Available,Low,Storm,Off-Peak,1,131
110,Narrowbody,Constrained,Adequate,Rain,Peak,1,134
85,Narrowbody,Available,Adequate,Rain,Off-Peak,1,127
33,Narrowbody,Available,Adequate,Clear,Peak,0,33
110,Narrowbody,Available,Low,Rain,Off-Peak,1,142
7,Widebody,Constrained,Adequate,Rain,Peak,1,54
39,Narrowbody,Constrained,Adequate,Rain,Off-Peak,1,80
112,Narrowbody,Constrained,Adequate,Clear,Peak,1,166
107,Narrowbody,Constrained,Adequate,Clear,Peak,1,166
82,Narrowbody,Available,Adequate,Rain,Off-Peak,1,126
41,Widebody,Available,Adequate,Rain,Peak,1,51
40,Narrowbody,Available,Adequate,Storm,Off-Peak,0,40
100,Narrowbody,Available,Low,Clear,Peak,1,154
5,Widebody,Available,Adequate,Clear,Off-Peak,0,5
51,Narrowbody,Available,Adequate,Clear,Peak,0,51
25,Widebody,Available,Low,Rain,Peak,1,39
63,Narrowbody,Available,Low,Clear,Off-Peak,1,104
97,Narrowbody,Available,Low,Clear,Off-Peak,1,127
58,Narrowbody,Available,Adequate,Storm,Off-Peak,1,91
55,Widebody,Constrained,Adequate,Clear,Peak,1,82
58,Widebody,Constrained,Adequate,Rain,Off-Peak,1,88
108,Narrowbody,Constrained,Low,Clear,Off-Peak,1,127
69,Narrowbody,Available,Adequate,Rain,Peak,1,102
100,Narrowbody,Available,Adequate,Clear,Off-Peak,1,149
32,Narrowbody,Constrained,Adequate,Storm,Peak,1,88
52,Narrowbody,Available,Adequate,Storm,Off-Peak,1,82
21,Widebody,Available,Adequate,Clear,Off-Peak,0,21
20,Narrowbody,Available,Adequate,Clear,Peak,0,20
69,Narrowbody,Available,Adequate,Clear,Off-Peak,0,69
69,Narrowbody,Available,Adequate,Rain,Off-Peak,1,82
118,Narrowbody,Available,Low,Rain,Peak,1,161
111,Narrowbody,Available,Low,Clear,Off-Peak,1,126
3,Narrowbody,Available,Low,Rain,Peak,0,3
93,Widebody,Available,Low,Clear,Peak,1,133
74,Narrowbody,Constrained,Adequate,Rain,Off-Peak,1,118
61,Narrowbody,Available,Adequate,Storm,Off-Peak,1,109
61,Narrowbody,Available,Adequate,Clear,Peak,1,112
93,Widebody,Constrained,Adequate,Clear,Off-Peak,1,125
94,Widebody,Available,Adequate,Clear,Off-Peak,1,109
23,Narrowbody,Available,Adequate,Clear,Peak,0,23
54,Widebody,Available,Adequate,Clear,Off-Peak,0,54
8,Narrowbody,Available,Adequate,Clear,Peak,0,8
118,Narrowbody,Available,Adequate,Clear,Off-Peak,1,144
2,Narrowbody,Constrained,Adequate,Clear,Off-Peak,0,2
114,Narrowbody,Available,Low,Clear,Off-Peak,1,124
30,Narrowbody,Available,Adequate,Clear,Peak,0,30
39,Widebody,Available,Adequate,Clear,Peak,0,39
100,Widebody,Available,Adequate,Rain,Peak,1,154
35,Narrowbody,Available,Adequate,Rain,Off-Peak,0,35
23,Narrowbody,Available,Adequate,Clear,Off-Peak,0,23
94,Narrowbody,Available,Adequate,Clear,Off-Peak,1,115
5,Narrowbody,Available,Adequate,Rain,Off-Peak,0,5
65,Narrowbody,Available,Adequate,Storm,Peak,1,121
83,Narrowbody,Available,Low,Clear,Peak,1,95
91,Narrowbody,Constrained,Low,Clear,Off-Peak,1,148
74,Widebody,Available,Adequate,Clear,Peak,1,84
3,Narrowbody,Available,Adequate,Clear,Off-Peak,0,3
78,Narrowbody,Available,Low,Clear,Peak,1,135
5,Widebody,Available,Adequate,Clear,Off-Peak,0,5
117,Narrowbody,Available,Adequate,Rain,Off-Peak,1,170
112,Narrowbody,Available,Adequate,Clear,Off-Peak,1,140
93,Narrowbody,Constrained,Low,Clear,Off-Peak,1,110
119,Narrowbody,Constrained,Adequate,Clear,Peak,1,172
101,Widebody,Available,Adequate,Clear,Off-Peak,1,157
50,Narrowbody,Available,Low,Clear,Off-Peak,0,50
61,Narrowbody,Constrained,Adequate,Clear,Peak,1,100
56,Widebody,Constrained,Adequate,Rain,Peak,1,95
65,Widebody,Constrained,Low,Clear,Peak,1,123
78,Widebody,Available,Adequate,Rain,Off-Peak,1,126
74,Narrowbody,Available,Adequate,Storm,Peak,1,128
7,Narrowbody,Available,Adequate,Clear,Peak,0,7
25,Widebody,Available,Adequate,Clear,Off-Peak,0,25
50,Widebody,Available,Adequate,Clear,Off-Peak,0,50
44,Narrowbody,Available,Adequate,Rain,Off-Peak,0,44
43,Narrowbody,Constrained,Adequate,Storm,Off-Peak,1,63
4,Narrowbody,Available,Low,Rain,Off-Peak,0,4
69,Widebody,Constrained,Adequate,Clear,Off-Peak,1,126
25,Narrowbody,Available,Adequate,Rain,Peak,0,25
117,Narrowbody,Available,Adequate,Clear,Peak,1,146
67,Narrowbody,Available,Low,Clear,Peak,1,93
18,Narrowbody,Constrained,Adequate,Clear,Peak,0,18
83,Widebody,Available,Adequate,Clear,Off-Peak,1,96
96,Narrowbody,Available,Adequate,Rain,Peak,1,110
19,Widebody,Constrained,Adequate,Clear,Peak,1,51
112,Widebody,Available,Adequate,Clear,Off-Peak,1,167
11,Narrowbody,Available,Low,Clear,Peak,0,11
46,Narrowbody,Available,Adequate,Rain,Peak,1,101
0,Narrowbody,Available,Adequate,Rain,Off-Peak,0,0
89,Widebody,Available,Adequate,Clear,Peak,1,131
13,Narrowbody,Available,Low,Clear,Off-Peak,0,13
63,Narrowbody,Available,Adequate,Clear,Off-Peak,0,63
37,Widebody,Available,Adequate,Storm,Off-Peak,1,96
36,Narrowbody,Available,Adequate,Clear,Peak,0,36
10,Widebody,Available,Adequate,Clear,Peak,0,10
99,Narrowbody,Available,Adequate,Clear,Peak,1,135
76,Narrowbody,Available,Adequate,Clear,Off-Peak,1,103
106,Narrowbody,Available,Adequate,Rain,Off-Peak,1,155
2,Widebody,Available,Adequate,Clear,Peak,0,2
32,Narrowbody,Available,Adequate,Clear,Peak,0,32
5,Widebody,Constrained,Adequate,Clear,Off-Peak,0,5
49,Widebody,Available,Adequate,Clear,Off-Peak,0,49
119,Narrowbody,Constrained,Low,Storm,Peak,1,178
9,Widebody,Constrained,Low,Clear,Peak,1,39
4,Narrowbody,Available,Low,Rain,Off-Peak,0,4
22,Narrowbody,Available,Low,Rain,Off-Peak,0,22
9,Narrowbody,Available,Adequate,Clear,Peak,0,9
43,Widebody,Constrained,Low,Clear,Peak,1,92
1,Narrowbody,Available,Adequate,Clear,Off-Peak,0,1
12,Narrowbody,Available,Adequate,Rain,Off-Peak,0,12
39,Narrowbody,Available,Adequate,Clear,Peak,0,39
1,Narrowbody,Constrained,Adequate,Clear,Off-Peak,0,1
83,Narrowbody,Constrained,Low,Clear,Off-Peak,1,94
64,Widebody,Available,Adequate,Rain,Off-Peak,1,112
62,Widebody,Available,Adequate,Clear,Off-Peak,1,120
100,Narrowbody,Available,Low,Clear,Peak,1,151
72,Widebody,Available,Adequate,Clear,Off-Peak,1,125
16,Narrowbody,Constrained,Adequate,Clear,Peak,0,16
8,Widebody,Available,Low,Rain,Off-Peak,0,8
74,Narrowbody,Available,Adequate,Clear,Off-Peak,1,103
14,Narrowbody,Available,Adequate,Rain,Off-Peak,0,14
23,Narrowbody,Constrained,Adequate,Rain,Peak,1,36
37,Widebody,Constrained,Adequate,Clear,Peak,1,91
118,Narrowbody,Available,Low,Rain,Off-Peak,1,171
34,Narrowbody,Constrained,Adequate,Clear,Peak,1,54
93,Narrowbody,Available,Adequate,Clear,Peak,1,144
94,Narrowbody,Available,Adequate,Rain,Peak,1,150
48,Narrowbody,Available,Adequate,Clear,Off-Peak,0,48
68,Widebody,Available,Low,Rain,Peak,1,102
61,Widebody,Available,Adequate,Clear,Off-Peak,1,119
59,Narrowbody,Constrained,Adequate,Storm,Off-Peak,1,105
107,Widebody,Available,Adequate,Clear,Peak,1,150
49,Narrowbody,Available,Adequate,Clear,Off-Peak,0,49
77,Widebody,Available,Low,Clear,Off-Peak,1,92
116,Widebody,Available,Adequate,Rain,Off-Peak,1,143
119,Narrowbody,Constrained,Adequate,Rain,Peak,1,142
74,Widebody,Available,Adequate,Clear,Peak,1,102
8,Narrowbody,Available,Low,Rain,Off-Peak,0,8
33,Narrowbody,Constrained,Adequate,Clear,Peak,1,82
75,Widebody,Available,Low,Clear,Off-Peak,1,101
98,Narrowbody,Available,Adequate,Rain,Off-Peak,1,142
34,Narrowbody,Available,Low,Rain,Peak,1,72
0,Narrowbody,Available,Adequate,Rain,Off-Peak,0,0
39,Widebody,Constrained,Adequate,Rain,Off-Peak,1,65
63,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,115
21,Narrowbody,Available,Adequate,Rain,Peak,0,21
59,Widebody,Constrained,Low,Clear,Off-Peak,1,69
63,Widebody,Available,Low,Clear,Peak,1,117
92,Narrowbody,Available,Adequate,Clear,Peak,1,137
71,Narrowbody,Available,Adequate,Clear,Off-Peak,1,87
10,Narrowbody,Available,Adequate,Clear,Peak,0,10
104,Narrowbody,Available,Low,Clear,Off-Peak,1,118
100,Narrowbody,Available,Adequate,Clear,Off-Peak,1,133
13,Widebody,Constrained,Adequate,Clear,Peak,0,13
59,Narrowbody,Available,Adequate,Clear,Peak,1,111
29,Narrowbody,Available,Adequate,Clear,Off-Peak,0,29
34,Narrowbody,Available,Adequate,Clear,Off-Peak,0,34
84,Widebody,Available,Adequate,Rain,Off-Peak,1,113
36,Narrowbody,Available,Adequate,Rain,Off-Peak,0,36
4,Widebody,Available,Low,Rain,Off-Peak,0,4
82,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,117
77,Narrowbody,Available,Adequate,Rain,Peak,1,101
25,Narrowbody,Available,Adequate,Clear,Off-Peak,0,25
61,Narrowbody,Available,Low,Clear,Off-Peak,1,78
3,Narrowbody,Available,Adequate,Clear,Peak,0,3
88,Narrowbody,Available,Adequate,Rain,Peak,1,145
108,Narrowbody,Available,Adequate,Clear,Off-Peak,1,120
41,Widebody,Available,Adequate,Clear,Off-Peak,0,41
88,Narrowbody,Available,Adequate,Clear,Peak,1,106
17,Widebody,Available,Low,Rain,Off-Peak,0,17
39,Narrowbody,Available,Low,Rain,Off-Peak,0,39
71,Narrowbody,Available,Adequate,Clear,Peak,1,106
38,Narrowbody,Constrained,Adequate,Clear,Off-Peak,0,38
103,Narrowbody,Available,Low,Clear,Off-Peak,1,146
13,Narrowbody,Constrained,Adequate,Rain,Off-Peak,0,13
31,Narrowbody,Available,Low,Clear,Off-Peak,0,31
50,Narrowbody,Constrained,Adequate,Rain,Off-Peak,1,64
37,Narrowbody,Available,Low,Clear,Peak,1,87
96,Narrowbody,Available,Low,Rain,Off-Peak,1,118
22,Widebody,Available,Low,Clear,Off-Peak,0,22
62,Widebody,Constrained,Adequate,Clear,Off-Peak,1,96
14,Widebody,Available,Adequate,Clear,Peak,0,14
96,Widebody,Available,Low,Clear,Off-Peak,1,109
24,Narrowbody,Available,Adequate,Clear,Off-Peak,0,24
16,Narrowbody,Constrained,Adequate,Rain,Peak,0,16
96,Widebody,Available,Low,Clear,Off-Peak,1,133
